"mbid","clustering_local","triangles","open_wedges","gwesp_contrib","degree","eigencentrality","pagerank","kcore","betweenness","closeness","same_genre_share"
"f0d4e169-33bc-4ab7-8054-df73c65323e4",1,6,0,0,4,0.000827076161647818,0.000288187235672444,4,0,0.191958138253925,0.75
"ff98b821-de0d-4a0e-9002-507bf323a97d",0,0,0,0,1,4.18348740952405e-17,0.000387611922942887,1,0,1,1
"2eb55bd9-cfbf-44fd-a5da-92dd825284c7",1,1,0,0,2,1.61811086393984e-05,0.000190184638621114,2,0,0.167749699157641,0
"2df5b6f3-70b1-4e60-b954-43f1b3625c0b",1,1,0,0,2,5.05818844608356e-17,0.000387611922942527,2,0,1,1
"5e010e55-68c7-48d8-a4c5-d511dc8c100e",0.8,8,2,0,5,1.66061942760852e-17,0.000419195960143792,4,1.69522700360999e-07,0.857142857142857,1
"e99893a1-ba5f-49ee-9e52-3de13f1018b8",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"f7625f34-1799-42a4-a1c6-22b5377c767b",1,1,0,0,2,9.6758986907652e-18,0.000241564648073239,2,0,0.307692307692308,0.5
"3778a413-6202-44c4-a11c-aaeb78feb7de",1,6,0,0,4,0.00105480791041938,0.000248873273767985,4,0,0.187013683928092,1
"dbe7fdf7-81b2-418b-b3f6-81ae71532f40",1,1,0,0,2,0.000179495759119202,0.00024905462958737,2,0,0.157389635316699,0
"188711ed-c99b-439c-844a-ca831f63a727",0.333333333333333,2,4,0,4,7.97921890162862e-07,0.000491149354944954,2,0.000530945097530648,0.124742729306488,1
"e864aa1b-5dc6-4f76-9425-c5d98e289d3e",1,1,0,0,2,7.92002093712163e-07,0.000242212290078645,2,0,0.124709250313115,1
"785a76e3-02db-4a36-bc13-9369d53be151",1,10,0,0,5,6.92348853858231e-05,0.000291142114140147,5,0,0.172952853598015,0.8
"8b173ace-1599-47f3-84b5-946368b7e229",1,15,0,0,6,0.0127975100854078,0.000274474913943342,6,0,0.226188544539997,1
"c01c2efa-01d6-45d0-b8d8-3c6ba29db474",1,10,0,0,5,0,0.000326676818162058,5,0,0.354609929078014,1
"00793456-2e3f-49ab-9439-84efe81dc0e2",0,0,0,0,1,3.86286112363261e-17,0.000387611922942887,1,0,1,1
"ddb01e3e-0e38-4c47-a4e8-2cc0c13b8388",1,190,0,0,20,0.903585867658377,0.000507526612084845,20,0,0.210161314638927,0.85
"04af2581-6692-4f14-a7fe-151a36f20368",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"a16371b9-7d36-497a-a9d4-42b0a0440c5e",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"1fefa8b3-806b-4ab9-a066-66574b22aa16",1,15,0,0,6,0.00231431031666415,0.00035797017780035,6,0,0.213084683583002,0.5
"7a8dbe84-f4c0-4457-bfa3-edced1f8cde0",1,1,0,0,2,6.05909170070734e-06,0.000249625287036,2,0,0.134530013510905,1
"7e61db22-e0d5-4999-87b0-af5a85c63baf",1,45,0,0,10,0,0.000401335180495348,10,0,0.433333333333333,1
"0627192d-4fed-4f4b-bad8-383bb42fa8fa",1,36,0,0,9,0.0159140565064213,0.00036614393598908,9,0,0.214990746452807,0.888888888888889
"f07dbc2f-317b-470f-bad4-5f1b0eb6faf1",1,1,0,0,2,9.04857275546287e-18,0.000276246073292088,2,0,0.285714285714286,1
"75167b8b-44e4-407b-9d35-effe87b223cf",0,0,1,0,2,5.86781647252895e-17,0.000503215478908335,1,5.08568101082996e-07,0.75,0
"2b2a7e94-fdc6-4c2e-859c-441faa4089cd",1,10,0,0,5,2.28310170296903e-17,0.00039777318720108,5,0,0.358974358974359,1
"a717be4f-8b3d-4355-b33c-2b84f88fe40d",0.666666666666667,2,1,0,3,5.0261217763821e-17,0.00039476039653545,2,1.27142025270749e-07,0.237623762376238,0.666666666666667
"e08e97f1-c5d5-4ac7-b2f1-aae617990640",1,45,0,0,10,0,0.000401335180495306,10,0,0.433333333333333,1
"0612bcce-e351-40be-b3d7-2bb5e1c23479",0.433333333333333,52,68,0,16,0.00788799877420249,0.00071866994650893,9,0.00132940819601285,0.208651399491094,0.75
"479497d4-e7c2-4e78-972e-56e78fac3995",0,0,0,0,1,8.3579866904341e-18,0.000216624565389295,1,0,0.454545454545455,1
"44cf61b8-5197-448a-b82b-cef6ee89fac5",0,0,0,0,1,3.99092734808014e-17,0.000387611922942887,1,0,1,1
"42aaf916-f453-407f-b39e-d999f6aeee4d",0,0,0,0,1,3.85644412788546e-17,0.000387611922942887,1,0,1,1
"d43d12a1-2dc9-4257-a2fd-0a3bb1081b86",0.133333333333333,2,13,0,6,6.03101106118482e-08,0.000630133150543414,3,0.00270203699373273,0.130499906384572,1
"b10954d4-0b15-48a6-9333-5a4c7169da51",1,10,0,0,5,0.000806189382383464,0.000227461846142976,5,0,0.190177353342428,0.8
"b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"03f8ade0-201a-43ee-90b4-96c36dc591b0",0.75,27,9,0,9,0.00115065587512678,0.000436862996228254,7,0.000147265194960052,0.197226938313526,1
